time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T18:25:44.430Z,38.8376656,-122.7811661,1.27,0.78,md,10,67,0.006178,0.02,nc,nc73154671,2019-03-20T18:27:22.360Z,"5km WNW of Cobb, CA",earthquake,0.33,0.45,0.08,3,automatic,nc,nc
2019-03-20T18:23:44.190Z,58.6416,-155.696,12.5,3.3,ml,,,,1.11,ak,ak0193myb88h,2019-03-20T18:33:13.435Z,"56km E of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-20T18:08:32.130Z,38.8043327,-122.779335,1.58,1.11,md,16,93,0.01299,0.04,nc,nc73154666,2019-03-20T18:30:04.097Z,"4km NNW of The Geysers, CA",earthquake,0.25,0.42,0.07,4,automatic,nc,nc
2019-03-20T17:25:36.790Z,38.7293333,-112.4835,8.67,2.44,ml,27,59,0.123,0.2,uu,uu60317277,2019-03-20T17:58:19.910Z,"29km SSW of Fillmore, Utah",earthquake,0.35,0.8,0.159,8,reviewed,uu,uu
2019-03-20T17:23:17.472Z,60.225,-141.3092,15,1.9,ml,,,,0.84,ak,ak0193mxpr6b,2019-03-20T17:36:20.465Z,"64km ENE of Cape Yakataga, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-03-20T17:15:15.910Z,38.8073349,-122.8195038,3.48,0.88,md,9,127,0.007712,0.03,nc,nc73154631,2019-03-20T18:24:03.319Z,"6km WNW of The Geysers, CA",earthquake,0.72,1.63,,1,automatic,nc,nc
2019-03-20T16:58:54.845Z,63.1241,-150.3705,53.4,1.4,ml,,,,0.96,ak,ak0193mxbwim,2019-03-20T17:11:44.471Z,"77km WSW of Cantwell, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-03-20T16:53:15.920Z,38.8431664,-122.8359985,0.89,0.32,md,8,128,0.01514,0.02,nc,nc73154621,2019-03-20T17:40:03.814Z,"10km WNW of Cobb, CA",earthquake,0.43,0.96,0.24,2,automatic,nc,nc
2019-03-20T16:43:20.320Z,34.0193333,-117.4496667,-0.26,0.83,ml,17,104,0.01247,0.15,ci,ci38278599,2019-03-20T17:44:07.071Z,"3km ENE of Glen Avon, CA",quarry blast,0.42,31.61,0.099,9,reviewed,ci,ci
2019-03-20T16:38:56.610Z,36.0716667,-117.679,2.01,1.6,ml,26,39,0.08388,0.11,ci,ci38278591,2019-03-20T17:39:47.040Z,"24km E of Coso Junction, CA",earthquake,0.15,0.24,0.111,18,reviewed,ci,ci
2019-03-20T16:37:29.070Z,33.5196667,-116.5605,4.33,0.15,ml,10,185,0.04269,0.1,ci,ci38278583,2019-03-20T17:34:29.953Z,"11km ESE of Anza, CA",earthquake,0.36,0.63,0.133,5,reviewed,ci,ci
2019-03-20T16:23:24.190Z,-2.8007,-77.3534,45.58,5.1,mb,,103,1.93,0.47,us,us1000jjan,2019-03-20T18:09:30.640Z,"97km ESE of Sucua, Ecuador",earthquake,6.1,7.3,0.034,271,reviewed,us,us
2019-03-20T16:22:58.705Z,62.1443,-148.7281,35.4,1.5,ml,,,,0.93,ak,ak0193mx46y7,2019-03-20T16:38:37.806Z,"39km N of Sutton-Alpine, Alaska",earthquake,,7.2,,,automatic,ak,ak
2019-03-20T16:22:01.170Z,33.5051667,-116.7648333,2.32,0.32,ml,14,63,0.03053,0.09,ci,ci38278559,2019-03-20T18:00:09.396Z,"10km WSW of Anza, CA",earthquake,0.16,0.18,0.118,7,reviewed,ci,ci
2019-03-20T16:05:26.930Z,33.5041667,-116.769,2.48,0.44,ml,16,80,0.02744,0.07,ci,ci38278519,2019-03-20T17:57:50.901Z,"10km WSW of Anza, CA",earthquake,0.13,0.16,0.06,10,reviewed,ci,ci
2019-03-20T16:04:00.840Z,33.1426667,-115.9785,9.09,1.58,ml,71,33,0.1333,0.17,ci,ci38278511,2019-03-20T17:55:55.740Z,"14km E of Ocotillo Wells, CA",earthquake,0.13,0.54,0.132,24,reviewed,ci,ci
